,Date,StockCode,Quantity,UnitPrice,DayOfWeek,Month,Country,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,pad,prediction,QuantityDiff
393,2010-12-09,85099B,0,1.95,3,12,Belgium,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,1,1.008905234488153,0.0
394,2010-12-09,85099B,18,3.08,3,12,United Kingdom,-137.0,185.0,128.0,29.0,-9.0,-39.0,-508.0,1,16.49221264859331,-187.0
408,2010-12-09,84077,52,0.36,3,12,United Kingdom,190.0,42.0,-88.0,96.0,-49.0,-3215.0,3264.0,1,37.83033500691443,-188.0
409,2010-12-09,22197,12,0.85,3,12,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,12.0
413,2010-12-09,22197,0,0.85,3,12,Germany,0.0,0.0,-24.0,24.0,0.0,0.0,0.0,1,1.008905234488153,0.0
415,2010-12-09,22197,0,0.85,3,12,Norway,72.0,0.0,0.0,0.0,0.0,0.0,-72.0,1,-5.434381674735786,-72.0
419,2010-12-09,85099B,0,1.95,3,12,Germany,0.0,0.0,-10.0,10.0,-30.0,30.0,0.0,1,1.008905234488153,0.0
431,2010-12-09,22197,212,1.242,3,12,United Kingdom,11.0,-135.0,207.0,57.0,-67.0,-5.0,-127.0,1,65.97469795896637,72.0
433,2010-12-09,22197,36,0.85,3,12,EIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,36.0
441,2010-12-10,22197,0,0.85,4,12,Norway,-72.0,72.0,0.0,0.0,0.0,0.0,0.0,1,10.321404335187998,0.0
445,2010-12-10,85099B,10,1.95,4,12,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,10.0
447,2010-12-10,85099B,103,2.734,4,12,United Kingdom,-187.0,-137.0,185.0,128.0,29.0,-9.0,-39.0,1,46.45873221588896,85.0
458,2010-12-10,84077,67,0.3833333333333333,4,12,United Kingdom,-188.0,190.0,42.0,-88.0,96.0,-49.0,-3215.0,1,16.49221264859331,15.0
463,2010-12-10,22197,0,0.85,4,12,EIRE,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,-36.0
466,2010-12-10,22197,0,0.85,4,12,France,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.008905234488153,-12.0
467,2010-12-10,85099B,0,1.95,4,12,Germany,0.0,0.0,0.0,-10.0,10.0,-30.0,30.0,1,15.573568841137686,0.0
478,2010-12-10,85099B,0,1.95,4,12,Belgium,0.0,0.0,0.0,0.0,0.0,-10.0,10.0,1,8.792332449339652,0.0
487,2010-12-10,22197,95,1.1199999999999999,4,12,United Kingdom,72.0,11.0,-135.0,207.0,57.0,-67.0,-5.0,1,-5.434381674735786,-117.0
488,2010-12-10,22197,0,0.85,4,12,Germany,0.0,0.0,0.0,-24.0,24.0,0.0,0.0,1,1.008905234488153,0.0
496,2010-12-11,85099B,0,2.734,5,12,United Kingdom,85.0,-187.0,-137.0,185.0,128.0,29.0,-9.0,1,23.414809712412513,-103.0
497,2010-12-11,22197,0,0.85,5,12,France,-12.0,12.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,0.0
504,2010-12-11,85099B,0,1.95,5,12,Portugal,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.10842294565921778,-10.0
507,2010-12-11,85099B,0,1.95,5,12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1,-0.10842294565921778,0.0
511,2010-12-11,84077,0,0.3833333333333333,5,12,United Kingdom,15.0,-188.0,190.0,42.0,-88.0,96.0,-49.0,1,64.85736977881899,-67.0
